"id","oid","pid","name","price","quantity","bid","subtotal"
"204","1","1","联想小新Pro 14 AI元启版 2026","6499","2","1","12998"
"205","1","31","联想天逸510Pro","4899","1","9","4899"
"206","2","6","联想拯救者Legion 7a 2026","14999","1","7","14999"
"207","2","17","联想拯救者M600无线游戏鼠标","399","3","7","1197"
"208","3","26","联想YOGA Pro 16 Aura AI元启版","10999","2","1","21998"
"209","4","3","联想小新Pro 16 2026酷睿版","7299","3","1","21897"
"210","4","18","联想900无线机械键盘","899","2","8","1798"
"211","5","11","联想小新Pad Pro 12.7 2026","2399","5","4","11995"
"212","5","25","联想小新M1照片打印机","699","2","4","1398"
"213","6","32","联想拯救者刃7000K","8999","4","2","35996"
"214","6","20","联想100W USB-C氮化镓充电器","249","10","2","2490"
"215","7","12","联想拯救者Y700 2026电竞平板","2999","3","6","8997"
"216","8","7","联想拯救者Y9000X 2026","12999","2","7","25998"
"217","9","16","联想异能者显示器U2418HA-V","7999","1","1","7999"
"218","9","47","联想ThinkVision P27h-20专业显示器","1999","2","10","3998"
"219","10","35","联想扬天M650","3699","6","1","22194"
"220","11","8","联想拯救者刃9000K 2026","18999","1","8","18999"
"221","12","2","联想小新Pad 2026教育版","1599","8","2","12792"
"222","13","27","联想YOGA Pro 14","8999","2","3","17998"
"223","14","37","联想ThinkBook 14+","7999","3","9","23997"
"224","15","21","联想至像M280DW语音控制打印机","1599","4","5","6396"
"225","15","23","联想CS1831彩色喷墨打印机","499","2","5","998"
"226","16","36","联想ThinkBook Plus Gen 7 Auto Twist","14999","1","9","14999"
"227","17","43","联想ThinkPad T14p","8999","2","4","17998"
"228","18","13","联想启天K10商用平板","3299","3","4","9897"
"229","19","38","联想ThinkBook 16p","10499","1","9","10499"
"230","20","14","联想Yoga Pro 平板","4599","2","3","9198"
"231","21","4","联想小新Duet 2026二合一","5299","5","4","26495"
"232","22","9","联想拯救者电竞手机Y90","3999","3","7","11997"
"233","23","28","联想YOGA Pro 14s","84999","1","3","84999"
"234","24","33","联想天逸510Pro尊享版","8299","2","3","16598"
"235","25","5","联想小新27 2026锐锐版一体机","5799","4","5","23196"
"236","26","39","联想ThinkBook X","6999","3","9","20997"
"237","27","15","联想天骄学习平板A12","1899","6","2","11394"
"238","28","41","联想ThinkPad X1","14999","1","4","14999"
"239","29","22","联想领像M101W无线激光打印机","999","8","5","7992"
"240","30","10","联想拯救者C27电竞显示器","2299","5","7","11495"
"241","31","29","联想YOGA Pro 14s AI高能本","8699","2","3","17398"
"242","32","46","联想拯救者Y27qf-30电竞显示器","2999","3","10","8997"
"243","33","19","联想ThinkPad双模式无线ANC耳机","1299","4","8","5196"
"244","34","34","联想GeekPro","8999","3","5","26997"
"245","35","30","联想YOGA Pro14s 2022标压酷睿版","9999","2","3","19998"
"246","36","24","联想至像L2600DW双面激光打印机","2199","5","5","10995"
"247","37","42","联想ThinkPad X9","16999","1","4","16999"
"248","38","44","联想ThinkPad L14","6499","2","4","12998"
"249","39","40","联想ThinkBook 双屏扩展坞","1499","3","9","4497"
"250","40","45","联想thinkplus会声扩展坞音箱","799","6","9","4794"
"251","41","48","联想瑞天2810P液晶显示器","699","10","10","6990"
"252","42","49","联想拯救者显示器","699","8","10","5592"
"253","43","50","联想/ThinkVision显示器 T24v-30","1599","5","10","7995"
"254","44","17","联想拯救者M600无线游戏鼠标","399","12","7","4788"
"255","45","18","联想900无线机械键盘","899","6","8","5394"
"256","46","20","联想100W USB-C氮化镓充电器","249","20","2","4980"
"257","47","19","联想ThinkPad双模式无线ANC耳机","1299","8","8","10392"
"258","48","25","联想小新M1照片打印机","699","10","4","6990"
"259","49","23","联想CS1831彩色喷墨打印机","499","15","5","7485"
"260","50","21","联想至像M280DW语音控制打印机","1599","6","5","9594"
"261","51","1","联想小新Pro 14 AI元启版 2026","6499","1","1","6499"
"262","52","7","联想拯救者Y9000X 2026","12999","1","7","12999"
"263","53","11","联想小新Pad Pro 12.7 2026","2399","2","4","4798"
"264","54","3","联想小新Pro 16 2026酷睿版","7299","1","1","7299"
"265","55","25","联想小新M1照片打印机","699","3","4","2097"
"266","56","16","联想异能者显示器U2418HA-V","7999","1","1","7999"
"267","57","12","联想拯救者Y700 2026电竞平板","2999","1","6","2999"
"268","58","26","联想YOGA Pro 16 Aura AI元启版","10999","1","1","10999"
"269","59","2","联想小新Pad 2026教育版","1599","4","2","6396"
"270","60","5","联想小新27 2026锐锐版一体机","5799","1","5","5799"
"271","61","6","联想拯救者Legion 7a 2026","14999","1","7","14999"
"272","62","20","联想100W USB-C氮化镓充电器","249","5","2","1245"
"273","63","27","联想YOGA Pro 14","8999","2","3","17998"
"274","64","31","联想天逸510Pro","4899","3","9","14697"
"275","65","8","联想拯救者刃9000K 2026","18999","1","8","18999"
"276","66","15","联想天骄学习平板A12","1899","5","2","9495"
"277","67","10","联想拯救者C27电竞显示器","2299","2","7","4598"
"278","68","17","联想拯救者M600无线游戏鼠标","399","8","7","3192"
"279","69","33","联想天逸510Pro尊享版","8299","1","3","8299"
"280","70","4","联想小新Duet 2026二合一","5299","2","4","10598"
"281","71","9","联想拯救者电竞手机Y90","3999","3","7","11997"
"282","72","13","联想启天K10商用平板","3299","2","4","6598"
"283","73","14","联想Yoga Pro 平板","4599","1","3","4599"
"284","74","18","联想900无线机械键盘","899","4","8","3596"
"285","75","21","联想至像M280DW语音控制打印机","1599","3","5","4797"
"286","76","23","联想CS1831彩色喷墨打印机","499","6","5","2994"
"287","77","28","联想YOGA Pro 14s","84999","1","3","84999"
"288","78","29","联想YOGA Pro 14s AI高能本","8699","1","3","8699"
"289","79","32","联想拯救者刃7000K","8999","2","2","17998"
"290","80","34","联想GeekPro","8999","1","5","8999"
"291","81","35","联想扬天M650","3699","3","1","11097"
"292","82","36","联想ThinkBook Plus Gen 7 Auto Twist","14999","1","9","14999"
"293","83","37","联想ThinkBook 14+","7999","2","9","15998"
"294","84","38","联想ThinkBook 16p","10499","1","9","10499"
"295","85","39","联想ThinkBook X","6999","1","9","6999"
"296","86","40","联想ThinkBook 双屏扩展坞","1499","2","9","2998"
"297","87","41","联想ThinkPad X1","14999","1","4","14999"
"298","88","42","联想ThinkPad X9","16999","1","4","16999"
"299","89","43","联想ThinkPad T14p","8999","1","4","8999"
"300","90","44","联想ThinkPad L14","6499","2","4","12998"
"301","91","45","联想thinkplus会声扩展坞音箱","799","3","9","2397"
"302","92","46","联想拯救者Y27qf-30电竞显示器","2999","2","10","5998"
"303","93","47","联想ThinkVision P27h-20专业显示器","1999","1","10","1999"
"304","94","48","联想瑞天2810P液晶显示器","699","4","10","2796"
"305","95","49","联想拯救者显示器","699","3","10","2097"
"306","96","50","联想/ThinkVision显示器 T24v-30","1599","2","10","3198"
"307","97","19","联想ThinkPad双模式无线ANC耳机","1299","3","8","3897"
"308","98","20","联想100W USB-C氮化镓充电器","249","8","2","1992"
"309","99","21","联想至像M280DW语音控制打印机","1599","2","5","3198"
"310","100","22","联想领像M101W无线激光打印机","999","3","5","2997"
"311","197","5","联想小新27 2026锐龙版一体机","5799","1","1","5799"
"312","198","5","联想小新27 2026锐龙版一体机","5799","1","5","5799"
"313","199","5","联想小新27 2026锐龙版一体机","5799","1","5","5799"
"314","200","5","联想小新27 2026锐龙版一体机","5799","1","5","5799"
"315","201","5","联想小新27 2026锐龙版一体机","5799","1","5","5799"
"316","202","15","联想天骄学习平板A12","1899","1","1","1899"
"317","203","1","联想小新Pro 14 AI元启版 2026","6499","1","1","6499"
"318","204","7","联想拯救者Y9000X 2026","12999","1","1","12999"
